"amount","closedate","description","name","StageName","accountId"
"725727.74","2021-01-19T21:37:32Z","１２３","Bison, american","Value Proposition","@AccountRef48"
"811750.53","2021-03-19T00:24:45Z","울란바토르","Stork, woolly-necked","Assigned dynamically","@AccountRef10"
"634024.56","2021-05-22T19:11:07Z","1;DROP TABLE users","Antelope, sable","Perception Analysis","@AccountRef41"
"832619.54","2021-06-13T14:49:24Z","!@#$%^&*()","Roller, lilac-breasted","Negotiation/Review","@AccountRef36"
"101333.85","2021-04-19T22:53:38Z","␣","Helmeted guinea fowl","Value Proposition","@AccountRef29"
"856673.79","2021-04-15T16:29:40Z","部落格","Goose, cereopsis","Value Proposition","@AccountRef16"
"941093.30","2021-05-08T00:41:45Z","<img src=x onerror=alert('hi') />","Collared lizard","Value Proposition","@AccountRef31"
"765072.99","2021-03-04T08:56:41Z","사회과학원 어학연구소","Ring-tailed coatimundi","Assigned dynamically","@AccountRef24"
"81942.54","2021-03-05T14:31:49Z","ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ","Dove, emerald-spotted wood","Value Proposition","@AccountRef48"
"615734.55","2021-04-12T18:39:34Z","␡","Weaver, red-billed buffalo","Assigned dynamically","@AccountRef2"
"190216.32","2020-12-24T10:21:52Z","-1E+02","Monitor, water","Value Proposition","@AccountRef33"
"669186.86","2021-02-02T14:01:58Z","̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰","Dove, emerald-spotted wood","Id. Decision Makers","@AccountRef24"
"284733.50","2021-04-20T19:09:52Z","❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙","American alligator","Proposal/Price Quote","@AccountRef6"
"385163.30","2021-01-10T07:42:45Z","部落格","Common genet","Needs Analysis","@AccountRef26"
"969567.37","2021-05-12T16:10:24Z","1;DROP TABLE users","Golden eagle","Value Proposition","@AccountRef46"
"877716.62","2020-12-05T20:55:53Z","__ﾛ(,_,*)","Python, carpet","Assigned dynamically","@AccountRef19"
"752491.06","2020-11-15T09:05:09Z","(╯°□°）╯︵ ┻━┻)  ","Dromedary camel","Qualification","@AccountRef28"
"946820.56","2021-04-10T12:32:12Z","הָיְתָהtestالصفحات التّحول","Indian star tortoise","Assigned dynamically","@AccountRef1"
"789007.48","2021-02-01T05:12:55Z","울란바토르","Giraffe","Closed/Won","@AccountRef3"
"623799.64","2021-03-20T03:06:05Z","⁰⁴⁵","Squirrel, golden-mantled ground","Qualification","@AccountRef33"
"869401.55","2021-02-08T07:37:07Z","사회과학원 어학연구소","Black-capped capuchin","Assigned dynamically","@AccountRef2"
"73799.08","2020-12-21T22:21:11Z","👩🏽","Owl, white-browed","Negotiation/Review","@AccountRef24"
"420755.66","2021-03-21T11:22:51Z","⁰⁴⁵","Lion, steller's sea","Proposal/Price Quote","@AccountRef5"
"356530.25","2021-06-20T11:45:30Z","1/2","Spur-winged goose","Id. Decision Makers","@AccountRef7"
"892065.19","2021-01-02T07:41:31Z","１２３","Canadian river otter","Negotiation/Review","@AccountRef20"
"549508.83","2021-05-05T16:31:25Z","/dev/null; touch /tmp/blns.fail ; echo","Crowned eagle","Assigned dynamically","@AccountRef34"
"343248.34","2020-12-19T20:55:40Z","👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ","Toucan, red-billed","Value Proposition","@AccountRef37"
"230009.14","2021-04-19T00:36:36Z","部落格","Boa, columbian rainbow","Qualification","@AccountRef48"
"208464.69","2021-04-08T23:05:23Z",",./;'[]\-=","Ring-tailed possum","Needs Analysis","@AccountRef25"
"715534.24","2020-11-16T12:04:19Z","‪‪test‪","Scarlet macaw","Closed/Won","@AccountRef6"
